# Time-averaged data for fix rgavg
# TimeStep v_Rg2
2000 28.034
3000 27.8684
4000 28.0007
5000 27.9863
6000 28.1059
7000 27.9878
8000 28.0709
9000 28.2594
10000 28.3738
11000 28.2171
12000 28.1262
13000 28.7408
14000 28.7645
15000 29.0155
16000 28.557
17000 28.7384
18000 28.823
19000 28.58
20000 28.8116
21000 28.8255
22000 29.055
23000 29.4901
24000 28.8148
25000 29.3031
26000 29.4229
27000 29.3156
28000 29.5834
29000 29.3923
30000 29.6221
31000 29.5843
32000 29.5941
33000 29.4635
34000 29.5157
35000 29.4172
36000 29.3481
37000 29.5879
38000 28.5888
39000 29.5865
40000 29.5984
41000 29.6121
42000 29.585
43000 29.4445
44000 29.5262
45000 29.4949
46000 29.3158
47000 29.3021
48000 29.2833
49000 29.5907
50000 29.3566
