# Time-averaged data for fix rg-avg
# TimeStep v_Rg2
2000 64.3823
3000 70.603
4000 60.5692
5000 59.7543
6000 52.1786
7000 56.8131
8000 57.5131
9000 67.3258
10000 64.9262
11000 56.8947
12000 56.1312
13000 56.8219
14000 56.8536
15000 53.1614
16000 48.8572
17000 52.822
18000 48.2961
19000 51.1762
20000 49.7015
21000 46.4319
22000 52.5614
23000 47.5354
24000 45.5403
25000 49.4136
26000 51.8112
27000 58.293
28000 58.5774
29000 49.5563
30000 50.0772
31000 51.6236
32000 47.5206
33000 50.2662
34000 54.835
35000 56.9254
36000 56.6446
37000 56.4378
38000 61.8897
39000 56.8569
40000 46.8863
41000 47.1025
42000 50.1858
43000 47.6245
44000 47.2676
45000 45.3492
46000 46.475
47000 46.64
48000 55.8729
49000 58.5748
50000 56.63
